Date : 2023-05-19 12:21:42
Directory : /Users/mykhailokurov/Documents/code/lambda/eternal_fe/src
Total : 70 files,  4732 codes, 145 comments, 529 blanks, all 5406 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         39 |      2,839 |         13 |        288 |      3,140 |
| TypeScript JSX |         27 |      1,708 |          3 |        160 |      1,871 |
| CSS            |          4 |        185 |        129 |         81 |        395 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         70 |      4,732 |        145 |        529 |      5,406 |
| . (Files)                                                                                                                    |          4 |         30 |          1 |          7 |         38 |
| api                                                                                                                          |          6 |        189 |         10 |         23 |        222 |
| api/auth                                                                                                                     |          2 |         80 |          0 |          8 |         88 |
| api/chat                                                                                                                     |          2 |         18 |          0 |          5 |         23 |
| api/profile                                                                                                                  |          2 |         91 |         10 |         10 |        111 |
| components                                                                                                                   |         51 |      4,210 |          4 |        398 |      4,612 |
| components/common                                                                                                            |          5 |        436 |          0 |         41 |        477 |
| components/common/footer                                                                                                     |          2 |        123 |          0 |         14 |        137 |
| components/common/header                                                                                                     |          3 |        313 |          0 |         27 |        340 |
| components/common/header (Files)                                                                                             |          2 |        198 |          0 |         20 |        218 |
| components/common/header/bagel                                                                                               |          1 |        115 |          0 |          7 |        122 |
| components/hooks                                                                                                             |          3 |         23 |          0 |          7 |         30 |
| components/pages                                                                                                             |         43 |      3,751 |          4 |        350 |      4,105 |
| components/pages/account                                                                                                     |          4 |        527 |          0 |         39 |        566 |
| components/pages/account (Files)                                                                                             |          2 |        233 |          0 |         16 |        249 |
| components/pages/account/components                                                                                          |          2 |        294 |          0 |         23 |        317 |
| components/pages/chat                                                                                                        |         10 |        554 |          2 |         62 |        618 |
| components/pages/chat (Files)                                                                                                |          2 |        149 |          0 |         17 |        166 |
| components/pages/chat/components                                                                                             |          8 |        405 |          2 |         45 |        452 |
| components/pages/chat/components/aiMessage                                                                                   |          2 |         75 |          1 |         11 |         87 |
| components/pages/chat/components/chatInput                                                                                   |          2 |        106 |          0 |         13 |        119 |
| components/pages/chat/components/portraite                                                                                   |          2 |        194 |          0 |         15 |        209 |
